model_name,encoder_embed_dim,encoder_ffn_embed_dim,encoder_layers,encoder_attention_heads,encoder_normalize_before,decoder_embed_dim,decoder_ffn_embed_dim,decoder_layers,decoder_attention_heads,decoder_normalize_before,share_all_embeddings
tiny_v1,32,32,2,2,FALSE,32,32,2,2,FALSE,FALSE
tiny_v2,64,256,4,4,FALSE,64,256,4,4,FALSE,FALSE
tiny_v3,64,512,4,4,FALSE,64,512,4,4,FALSE,FALSE
tiny_v4,128,128,2,2,FALSE,128,128,2,2,FALSE,FALSE
tiny_v5,128,256,2,4,FALSE,128,256,2,4,FALSE,FALSE
tiny_v6,128,512,4,4,FALSE,128,512,4,4,FALSE,FALSE
tiny_v7,256,512,4,4,FALSE,256,512,4,4,FALSE,FALSE
small_v1,256,1024,4,4,FALSE,256,1024,4,4,FALSE,FALSE
small_v2,256,2048,4,4,FALSE,256,2048,4,4,FALSE,FALSE
small_v3,512,1024,4,8,FALSE,512,1024,4,8,FALSE,FALSE
small_v4,512,2048,4,8,FALSE,512,2048,4,8,FALSE,FALSE
base_v1,512,2048,6,8,FALSE,512,2048,6,8,FALSE,FALSE
base_v2,512,3072,6,8,FALSE,512,3072,6,8,FALSE,FALSE
big_v1,768,3072,6,12,FALSE,768,3072,6,12,FALSE,FALSE
big_v2,768,4096,6,12,FALSE,768,4096,6,12,FALSE,FALSE
big_v3,1024,4096,6,16,FALSE,1024,4096,6,16,FALSE,FALSE
large_v1,1024,6144,6,16,FALSE,1024,6144,6,16,FALSE,FALSE
